id,name,job,location,email,cellPhone,workPhone
23,Matthews Steele,Consultant,"Houston, TX",matthewssteele@bleendot.com,+1 (830) 421-2503,+1 (845) 512-2196
24,Castaneda Mckinney,Director,"Austin, TX",castanedamckinney@bleendot.com,+1 (916) 569-3918,+1 (989) 597-2920
25,Brewer Moreno,Consultant,"Houston, TX",brewermoreno@bleendot.com,+1 (874) 580-2449,+1 (809) 452-3621
26,Bentley James,Graphic Designer,"Houston, TX",bentleyjames@bleendot.com,+1 (820) 486-3256,+1 (892) 546-2236
27,Angelita Mccray,Web Developer,"Austin, TX",angelitamccray@bleendot.com,+1 (887) 526-2177,+1 (953) 436-3122
28,Vasquez Kirby,Software Engineer,"Dallas, TX",vasquezkirby@bleendot.com,+1 (862) 527-3102,+1 (859) 531-3557
29,Elvira Joseph,Software Engineer,"Houston, TX",elvirajoseph@bleendot.com,+1 (891) 404-2346,+1 (806) 427-3217
30,Carly Mueller,Web Developer,"Austin, TX",carlymueller@bleendot.com,+1 (966) 566-2568,+1 (809) 501-2710
31,Walls Warren,Web Developer,"Houston, TX",wallswarren@bleendot.com,+1 (923) 457-2856,+1 (938) 548-3786
32,Bertie Sanders,Graphic Designer,"Austin, TX",bertiesanders@bleendot.com,+1 (858) 498-2390,+1 (848) 524-3095
33,Wendy Hubbard,Web Developer,"Austin, TX",wendyhubbard@bleendot.com,+1 (812) 443-3132,+1 (927) 569-3452
34,Marquez Richards,Graphic Designer,"Houston, TX",marquezrichards@bleendot.com,+1 (917) 419-2203,+1 (998) 413-3185
35,Gay Lyons,Graphic Designer,"Austin, TX",gaylyons@bleendot.com,+1 (884) 538-2050,+1 (938) 501-2224
36,Hopkins Floyd,Software Engineer,"Austin, TX",hopkinsfloyd@bleendot.com,+1 (932) 481-3338,+1 (973) 557-3147
37,Wendi Donovan,Software Engineer,"Austin, TX",wendidonovan@bleendot.com,+1 (914) 456-3364,+1 (966) 539-3891
38,Wooten Good,Graphic Designer,"Houston, TX",wootengood@bleendot.com,+1 (814) 438-2804,+1 (868) 532-2025
39,Julianne Kramer,Software Engineer,"Austin, TX",juliannekramer@bleendot.com,+1 (835) 461-3719,+1 (902) 504-3016
40,Goodwin Mcgee,Software Engineer,"Houston, TX",goodwinmcgee@bleendot.com,+1 (988) 576-3513,+1 (872) 463-2485
41,Lucia Bolton,Software Engineer,"Houston, TX",luciabolton@bleendot.com,+1 (983) 521-3522,+1 (818) 528-3852
42,Jones Robles,Graphic Designer,"Houston, TX",jonesrobles@bleendot.com,+1 (998) 538-2092,+1 (848) 403-2989
43,Wyatt Stanley,Software Engineer,"Houston, TX",wyattstanley@bleendot.com,+1 (994) 422-3007,+1 (853) 458-3514
44,Brandi Mckee,Consultant,"Austin, TX",brandimckee@bleendot.com,+1 (927) 506-3540,+1 (985) 430-2021
45,Violet Parsons,Graphic Designer,"Dallas, TX",violetparsons@bleendot.com,+1 (917) 514-2667,+1 (836) 408-3406
46,Sophie Spencer,Software Engineer,"Dallas, TX",sophiespencer@bleendot.com,+1 (971) 428-2407,+1 (825) 577-2762
47,Tasha Butler,Graphic Designer,"Houston, TX",tashabutler@bleendot.com,+1 (897) 438-2772,+1 (872) 542-2645
48,Genevieve Sharp,Director,"Dallas, TX",genevievesharp@bleendot.com,+1 (844) 589-3256,+1 (865) 484-2663
49,Maryanne Santiago,Software Engineer,"Dallas, TX",maryannesantiago@bleendot.com,+1 (860) 457-2041,+1 (931) 469-2625
50,Maude Colon,Consultant,"Houston, TX",maudecolon@bleendot.com,+1 (959) 462-2407,+1 (807) 529-2406
51,Meyers Sheppard,Graphic Designer,"Austin, TX",meyerssheppard@bleendot.com,+1 (817) 574-3608,+1 (801) 521-3085
52,Wong Dunlap,Graphic Designer,"Houston, TX",wongdunlap@bleendot.com,+1 (952) 494-2596,+1 (902) 538-2729
53,Fry Stone,Director,"Houston, TX",frystone@bleendot.com,+1 (836) 491-2181,+1 (854) 427-3871
54,Jennie Parks,Graphic Designer,"Austin, TX",jennieparks@bleendot.com,+1 (827) 508-2511,+1 (988) 520-3485
55,Irma Patrick,Web Developer,"Houston, TX",irmapatrick@bleendot.com,+1 (955) 415-3897,+1 (850) 545-3275
56,Bright Hodge,Web Developer,"Austin, TX",brighthodge@bleendot.com,+1 (991) 476-3179,+1 (850) 561-3253
57,Sally Aguilar,Software Engineer,"Dallas, TX",sallyaguilar@bleendot.com,+1 (936) 541-3823,+1 (845) 501-2460
58,Reed Nichols,Web Developer,"Houston, TX",reednichols@bleendot.com,+1 (977) 482-2002,+1 (939) 526-3660
59,Glass Schmidt,Director,"Austin, TX",glassschmidt@bleendot.com,+1 (902) 527-2431,+1 (981) 531-2000
60,Cecilia Avila,Graphic Designer,"Houston, TX",ceciliaavila@bleendot.com,+1 (844) 436-3886,+1 (928) 472-2668
61,Kim Fry,Director,"Houston, TX",kimfry@bleendot.com,+1 (850) 504-3961,+1 (971) 404-2455
62,Maureen Decker,Consultant,"Dallas, TX",maureendecker@bleendot.com,+1 (817) 571-2404,+1 (986) 518-3013
63,Ruby Mercado,Consultant,"Houston, TX",rubymercado@bleendot.com,+1 (807) 466-3147,+1 (927) 433-3382
64,Perez Stafford,Graphic Designer,"Houston, TX",perezstafford@bleendot.com,+1 (907) 430-3512,+1 (827) 509-2868
65,Herring Benjamin,Consultant,"Houston, TX",herringbenjamin@bleendot.com,+1 (997) 457-3809,+1 (859) 498-3537
66,Josefa York,Consultant,"Dallas, TX",josefayork@bleendot.com,+1 (923) 478-2331,+1 (915) 436-3891
67,Ward Lynn,Director,"Houston, TX",wardlynn@bleendot.com,+1 (878) 404-3951,+1 (816) 545-2127
68,Rios Cook,Web Developer,"Dallas, TX",rioscook@bleendot.com,+1 (824) 523-3304,+1 (826) 469-2820
69,Kay Hays,Software Engineer,"Austin, TX",kayhays@bleendot.com,+1 (910) 587-3940,+1 (805) 543-2929
70,Lois Mcdonald,Consultant,"Austin, TX",loismcdonald@bleendot.com,+1 (873) 423-3631,+1 (960) 588-2666
71,Golden Barrera,Graphic Designer,"Houston, TX",goldenbarrera@bleendot.com,+1 (940) 583-2244,+1 (949) 416-2498
72,Morris Hoover,Consultant,"Austin, TX",morrishoover@bleendot.com,+1 (928) 587-2184,+1 (819) 587-2135
73,Trisha Horn,Web Developer,"Houston, TX",trishahorn@bleendot.com,+1 (838) 493-3398,+1 (833) 415-3463
74,Cherie Frank,Graphic Designer,"Austin, TX",cheriefrank@bleendot.com,+1 (912) 427-3702,+1 (972) 580-3792
75,Maxine Huber,Graphic Designer,"Dallas, TX",maxinehuber@bleendot.com,+1 (938) 587-3020,+1 (864) 513-2550
76,Naomi Hutchinson,Consultant,"Austin, TX",naomihutchinson@bleendot.com,+1 (937) 447-3230,+1 (858) 447-2763
77,Lynne Washington,Director,"Houston, TX",lynnewashington@bleendot.com,+1 (847) 570-2397,+1 (806) 509-3597
78,Juarez Langley,Web Developer,"Austin, TX",juarezlangley@bleendot.com,+1 (818) 507-3928,+1 (975) 440-3153
79,Pierce Shepherd,Graphic Designer,"Austin, TX",pierceshepherd@bleendot.com,+1 (864) 593-2073,+1 (925) 497-3199
80,Lou Le,Software Engineer,"Dallas, TX",loule@bleendot.com,+1 (827) 489-3840,+1 (800) 505-2159
81,Ola Juarez,Software Engineer,"Dallas, TX",olajuarez@bleendot.com,+1 (820) 425-2449,+1 (985) 450-3298
82,Carrillo Christian,Graphic Designer,"Houston, TX",carrillochristian@bleendot.com,+1 (995) 411-2613,+1 (874) 469-2430
83,Gonzalez Jordan,Software Engineer,"Austin, TX",gonzalezjordan@bleendot.com,+1 (856) 408-3514,+1 (823) 463-3251
84,Elena Newton,Consultant,"Houston, TX",elenanewton@bleendot.com,+1 (942) 493-2925,+1 (846) 431-3503
85,Nieves Blanchard,Consultant,"Dallas, TX",nievesblanchard@bleendot.com,+1 (901) 554-2712,+1 (838) 481-3756
86,Dorsey Tate,Web Developer,"Austin, TX",dorseytate@bleendot.com,+1 (975) 566-3682,+1 (862) 587-3940
87,Nicholson Lott,Consultant,"Austin, TX",nicholsonlott@bleendot.com,+1 (954) 498-3870,+1 (855) 482-3496
88,Powers Castillo,Director,"Dallas, TX",powerscastillo@bleendot.com,+1 (913) 525-2380,+1 (984) 579-3057
89,Wilkerson Douglas,Software Engineer,"Dallas, TX",wilkersondouglas@bleendot.com,+1 (919) 516-3723,+1 (832) 541-2218
90,John Sandoval,Director,"Dallas, TX",johnsandoval@bleendot.com,+1 (946) 594-3257,+1 (879) 520-2888
91,Jeannie Torres,Director,"Dallas, TX",jeannietorres@bleendot.com,+1 (852) 495-2683,+1 (911) 418-3950
92,Ramsey Velez,Consultant,"Austin, TX",ramseyvelez@bleendot.com,+1 (804) 548-3485,+1 (810) 543-2651
93,Shepard Gibson,Consultant,"Austin, TX",shepardgibson@bleendot.com,+1 (846) 562-2005,+1 (901) 408-2154
94,Sallie Dillard,Director,"Dallas, TX",salliedillard@bleendot.com,+1 (851) 449-3265,+1 (873) 488-3112
95,Helga Castaneda,Director,"Dallas, TX",helgacastaneda@bleendot.com,+1 (929) 570-3646,+1 (926) 598-2728
96,Stanton Atkinson,Consultant,"Austin, TX",stantonatkinson@bleendot.com,+1 (841) 441-3390,+1 (929) 470-3986
97,Kimberley Lopez,Consultant,"Austin, TX",kimberleylopez@bleendot.com,+1 (918) 525-3448,+1 (902) 487-2971
98,Yvonne Scott,Director,"Houston, TX",yvonnescott@bleendot.com,+1 (986) 436-3605,+1 (879) 566-2845
99,Vega Kidd,Director,"Houston, TX",vegakidd@bleendot.com,+1 (850) 529-2781,+1 (990) 564-2809
100,Lenora Watkins,Web Developer,"Austin, TX",lenorawatkins@bleendot.com,+1 (938) 547-3773,+1 (918) 559-2891
101,Sampson Hart,Director,"Austin, TX",sampsonhart@bleendot.com,+1 (971) 476-3521,+1 (937) 437-3177
102,Johnson Wilkerson,Graphic Designer,"Austin, TX",johnsonwilkerson@bleendot.com,+1 (881) 562-2070,+1 (969) 493-3177
103,Grace Obrien,Graphic Designer,"Dallas, TX",graceobrien@bleendot.com,+1 (929) 415-2457,+1 (858) 488-3835
104,Angeline Bradley,Web Developer,"Dallas, TX",angelinebradley@bleendot.com,+1 (874) 467-2285,+1 (842) 423-2090
105,Caldwell Whitaker,Consultant,"Houston, TX",caldwellwhitaker@bleendot.com,+1 (967) 416-3138,+1 (924) 463-2641
106,Lelia Collins,Software Engineer,"Houston, TX",leliacollins@bleendot.com,+1 (929) 517-2504,+1 (870) 421-2351
107,Cooper Greene,Web Developer,"Houston, TX",coopergreene@bleendot.com,+1 (823) 471-3284,+1 (941) 529-2495
108,Tamra Jennings,Web Developer,"Dallas, TX",tamrajennings@bleendot.com,+1 (865) 561-3938,+1 (996) 597-2120
109,Mcdaniel Hudson,Graphic Designer,"Houston, TX",mcdanielhudson@bleendot.com,+1 (976) 411-2401,+1 (817) 470-3528
110,Earnestine Robertson,Software Engineer,"Austin, TX",earnestinerobertson@bleendot.com,+1 (963) 559-2401,+1 (885) 552-2449
111,Cassandra Morin,Graphic Designer,"Houston, TX",cassandramorin@bleendot.com,+1 (888) 445-3835,+1 (931) 483-3562
112,Gilliam Landry,Consultant,"Austin, TX",gilliamlandry@bleendot.com,+1 (814) 481-3158,+1 (993) 555-2067
113,Ellison Small,Director,"Austin, TX",ellisonsmall@bleendot.com,+1 (937) 558-2330,+1 (943) 573-3383
114,Annabelle Heath,Software Engineer,"Dallas, TX",annabelleheath@bleendot.com,+1 (924) 496-2422,+1 (922) 596-2788
115,Jaclyn Kent,Director,"Dallas, TX",jaclynkent@bleendot.com,+1 (918) 591-2087,+1 (917) 551-2937
116,Cross Valencia,Director,"Houston, TX",crossvalencia@bleendot.com,+1 (903) 551-3792,+1 (847) 478-3389
117,Leigh Golden,Web Developer,"Austin, TX",leighgolden@bleendot.com,+1 (907) 413-3565,+1 (998) 427-3810
118,Joyce Sullivan,Web Developer,"Dallas, TX",joycesullivan@bleendot.com,+1 (962) 485-2475,+1 (927) 523-2958
119,Betsy Roberts,Director,"Houston, TX",betsyroberts@bleendot.com,+1 (820) 580-3205,+1 (987) 423-2876
120,Oconnor Fernandez,Consultant,"Austin, TX",oconnorfernandez@bleendot.com,+1 (863) 517-2196,+1 (855) 402-3309
121,Georgia Norman,Consultant,"Houston, TX",georgianorman@bleendot.com,+1 (835) 544-2040,+1 (891) 432-2689
122,Hobbs Farrell,Graphic Designer,"Houston, TX",hobbsfarrell@bleendot.com,+1 (999) 447-2391,+1 (848) 531-2877
123,Ratliff Holland,Director,"Houston, TX",ratliffholland@bleendot.com,+1 (935) 570-2308,+1 (936) 553-3089
124,Alyssa Mcneil,Software Engineer,"Dallas, TX",alyssamcneil@bleendot.com,+1 (996) 577-2903,+1 (886) 593-3153
125,Parrish Rojas,Consultant,"Austin, TX",parrishrojas@bleendot.com,+1 (963) 477-3673,+1 (842) 539-3635
126,Twila Daniels,Consultant,"Austin, TX",twiladaniels@bleendot.com,+1 (992) 506-2425,+1 (813) 411-2836
127,Andrea Franco,Director,"Austin, TX",andreafranco@bleendot.com,+1 (948) 470-3028,+1 (990) 477-2149
128,Mcmillan Patel,Software Engineer,"Houston, TX",mcmillanpatel@bleendot.com,+1 (950) 532-3455,+1 (901) 599-2396
129,Geraldine Becker,Consultant,"Austin, TX",geraldinebecker@bleendot.com,+1 (814) 446-3015,+1 (860) 594-3613
130,Clarice Ratliff,Graphic Designer,"Austin, TX",clariceratliff@bleendot.com,+1 (806) 577-2440,+1 (865) 466-2790
131,Meredith Salinas,Graphic Designer,"Dallas, TX",meredithsalinas@bleendot.com,+1 (989) 421-2796,+1 (960) 487-2808
132,Bonita Hartman,Consultant,"Austin, TX",bonitahartman@bleendot.com,+1 (828) 481-2860,+1 (985) 428-2028
133,Ayers Woods,Software Engineer,"Austin, TX",ayerswoods@bleendot.com,+1 (894) 515-2321,+1 (998) 405-2244
134,Felicia Cole,Software Engineer,"Houston, TX",feliciacole@bleendot.com,+1 (979) 523-3424,+1 (975) 548-3445
135,Georgina Ferguson,Web Developer,"Houston, TX",georginaferguson@bleendot.com,+1 (852) 435-2630,+1 (910) 505-3409
136,Minerva Sosa,Web Developer,"Houston, TX",minervasosa@bleendot.com,+1 (875) 483-3455,+1 (864) 421-3558
137,Muriel Campbell,Consultant,"Houston, TX",murielcampbell@bleendot.com,+1 (994) 432-3706,+1 (800) 435-3535
138,Martha Mercer,Director,"Houston, TX",marthamercer@bleendot.com,+1 (926) 558-2063,+1 (877) 410-3220
139,Adele Burns,Consultant,"Houston, TX",adeleburns@bleendot.com,+1 (971) 510-3206,+1 (817) 430-3428
140,Clayton Haynes,Web Developer,"Dallas, TX",claytonhaynes@bleendot.com,+1 (815) 508-2643,+1 (914) 440-2653
141,Gabrielle Harding,Director,"Houston, TX",gabrielleharding@bleendot.com,+1 (956) 489-2424,+1 (830) 558-2138
142,Emma Simon,Graphic Designer,"Dallas, TX",emmasimon@bleendot.com,+1 (905) 600-3709,+1 (915) 583-2862
143,Nola Levine,Consultant,"Austin, TX",nolalevine@bleendot.com,+1 (986) 466-2393,+1 (934) 457-2290
144,Queen Cleveland,Director,"Dallas, TX",queencleveland@bleendot.com,+1 (950) 401-2261,+1 (862) 536-2075
145,Celina Pace,Web Developer,"Dallas, TX",celinapace@bleendot.com,+1 (960) 407-2323,+1 (839) 486-3121
146,Rodriquez Snow,Graphic Designer,"Dallas, TX",rodriquezsnow@bleendot.com,+1 (908) 581-2417,+1 (991) 471-2479
147,Lindsey Yang,Web Developer,"Houston, TX",lindseyyang@bleendot.com,+1 (846) 447-2757,+1 (871) 514-3801
148,Parker Bray,Consultant,"Dallas, TX",parkerbray@bleendot.com,+1 (883) 559-2145,+1 (871) 448-3976
149,Misty Dyer,Consultant,"Houston, TX",mistydyer@bleendot.com,+1 (971) 557-2920,+1 (830) 425-3076
150,Mallory Hampton,Web Developer,"Austin, TX",malloryhampton@bleendot.com,+1 (984) 470-2368,+1 (923) 420-2068
151,Snyder Travis,Director,"Dallas, TX",snydertravis@bleendot.com,+1 (953) 593-2576,+1 (994) 600-2803
152,Krystal Kane,Graphic Designer,"Austin, TX",krystalkane@bleendot.com,+1 (927) 574-3831,+1 (973) 480-2232
153,Araceli Ayers,Graphic Designer,"Dallas, TX",araceliayers@bleendot.com,+1 (920) 412-2326,+1 (971) 403-2355
154,Kelley Weiss,Web Developer,"Dallas, TX",kelleyweiss@bleendot.com,+1 (880) 532-2584,+1 (941) 470-2229
155,Chambers Lewis,Consultant,"Dallas, TX",chamberslewis@bleendot.com,+1 (935) 571-3506,+1 (983) 495-3769
156,Kerry Mcmillan,Director,"Dallas, TX",kerrymcmillan@bleendot.com,+1 (836) 482-3222,+1 (857) 521-2474
157,Sonya Green,Director,"Houston, TX",sonyagreen@bleendot.com,+1 (927) 418-3147,+1 (881) 549-3989
158,Dodson Abbott,Software Engineer,"Austin, TX",dodsonabbott@bleendot.com,+1 (991) 591-2015,+1 (879) 439-2876
159,Sarah Davenport,Graphic Designer,"Austin, TX",sarahdavenport@bleendot.com,+1 (846) 481-2251,+1 (855) 434-2387
160,Millie Hayes,Software Engineer,"Austin, TX",milliehayes@bleendot.com,+1 (967) 554-3341,+1 (835) 586-3208
161,Holcomb Rich,Graphic Designer,"Austin, TX",holcombrich@bleendot.com,+1 (861) 507-3594,+1 (852) 508-3224
162,Anne Cohen,Consultant,"Austin, TX",annecohen@bleendot.com,+1 (997) 567-3062,+1 (818) 498-3914
163,Lorrie Chapman,Consultant,"Houston, TX",lorriechapman@bleendot.com,+1 (838) 556-2595,+1 (916) 528-3918
164,Baker Dunn,Software Engineer,"Austin, TX",bakerdunn@bleendot.com,+1 (815) 535-3288,+1 (803) 479-2077
165,Slater Hogan,Director,"Austin, TX",slaterhogan@bleendot.com,+1 (886) 506-3292,+1 (850) 420-3500
166,Hogan Pugh,Director,"Houston, TX",hoganpugh@bleendot.com,+1 (909) 581-3112,+1 (993) 512-2467
167,Bridgett Knapp,Consultant,"Dallas, TX",bridgettknapp@bleendot.com,+1 (941) 577-3946,+1 (974) 412-3073
168,Charlotte Burnett,Director,"Dallas, TX",charlotteburnett@bleendot.com,+1 (874) 577-2514,+1 (849) 436-2349
169,Wilkinson Compton,Software Engineer,"Dallas, TX",wilkinsoncompton@bleendot.com,+1 (946) 423-2193,+1 (978) 410-2542
170,Benjamin Santana,Web Developer,"Dallas, TX",benjaminsantana@bleendot.com,+1 (898) 410-3527,+1 (924) 411-2430
171,Lott Gomez,Web Developer,"Austin, TX",lottgomez@bleendot.com,+1 (892) 546-3634,+1 (947) 400-3599
172,Francisca Ruiz,Consultant,"Houston, TX",franciscaruiz@bleendot.com,+1 (806) 404-3284,+1 (802) 463-3942
173,Terry Best,Software Engineer,"Houston, TX",terrybest@bleendot.com,+1 (931) 453-3989,+1 (968) 530-2354
174,Franks Olsen,Graphic Designer,"Dallas, TX",franksolsen@bleendot.com,+1 (852) 467-2278,+1 (868) 405-2300
175,Case Pollard,Director,"Houston, TX",casepollard@bleendot.com,+1 (926) 596-3441,+1 (895) 444-2754
176,Tammi Dodson,Director,"Dallas, TX",tammidodson@bleendot.com,+1 (826) 516-2374,+1 (823) 563-3407
177,Delacruz Fischer,Software Engineer,"Dallas, TX",delacruzfischer@bleendot.com,+1 (889) 426-2061,+1 (930) 431-3885
178,Calderon Craft,Software Engineer,"Austin, TX",calderoncraft@bleendot.com,+1 (921) 591-2688,+1 (856) 425-2348
179,Luna Howell,Consultant,"Austin, TX",lunahowell@bleendot.com,+1 (996) 558-2800,+1 (809) 452-2511
180,Jefferson Schroeder,Consultant,"Austin, TX",jeffersonschroeder@bleendot.com,+1 (900) 559-2524,+1 (873) 471-3879
181,Stephenson Wagner,Graphic Designer,"Houston, TX",stephensonwagner@bleendot.com,+1 (943) 461-2121,+1 (806) 458-3971
182,Jenkins Pratt,Software Engineer,"Houston, TX",jenkinspratt@bleendot.com,+1 (927) 500-2444,+1 (995) 579-2807
183,Catherine Mathews,Consultant,"Houston, TX",catherinemathews@bleendot.com,+1 (880) 525-3040,+1 (953) 578-3686
184,Lorna Rice,Consultant,"Dallas, TX",lornarice@bleendot.com,+1 (812) 597-2976,+1 (854) 513-3884
185,Mable Hensley,Web Developer,"Dallas, TX",mablehensley@bleendot.com,+1 (947) 465-2147,+1 (962) 527-2848
186,Holland Bishop,Web Developer,"Austin, TX",hollandbishop@bleendot.com,+1 (866) 559-3603,+1 (996) 581-2139
187,Loretta Walsh,Graphic Designer,"Houston, TX",lorettawalsh@bleendot.com,+1 (966) 519-3550,+1 (833) 529-3272
188,Foster Cooper,Software Engineer,"Houston, TX",fostercooper@bleendot.com,+1 (977) 494-2827,+1 (916) 421-3592
189,Winifred Munoz,Software Engineer,"Austin, TX",winifredmunoz@bleendot.com,+1 (940) 499-2173,+1 (952) 476-2229
190,Juanita Waller,Consultant,"Dallas, TX",juanitawaller@bleendot.com,+1 (846) 571-2632,+1 (805) 543-2833
191,Hyde Brown,Software Engineer,"Dallas, TX",hydebrown@bleendot.com,+1 (810) 484-2300,+1 (925) 527-2558
192,Garza Mullins,Graphic Designer,"Dallas, TX",garzamullins@bleendot.com,+1 (814) 518-2630,+1 (840) 497-3857
193,Shelton Russo,Web Developer,"Houston, TX",sheltonrusso@bleendot.com,+1 (844) 425-3748,+1 (813) 421-3931
194,Consuelo Key,Consultant,"Austin, TX",consuelokey@bleendot.com,+1 (862) 462-2028,+1 (892) 572-2455
195,Woodard Pearson,Graphic Designer,"Dallas, TX",woodardpearson@bleendot.com,+1 (929) 438-2920,+1 (931) 566-2139
196,Rosales Rush,Software Engineer,"Houston, TX",rosalesrush@bleendot.com,+1 (893) 559-3454,+1 (901) 448-2129
197,Buckner Kemp,Web Developer,"Austin, TX",bucknerkemp@bleendot.com,+1 (986) 510-3255,+1 (812) 439-3670
198,Myrna House,Graphic Designer,"Austin, TX",myrnahouse@bleendot.com,+1 (825) 515-3332,+1 (895) 583-2499
199,White Jacobs,Web Developer,"Dallas, TX",whitejacobs@bleendot.com,+1 (943) 544-2776,+1 (872) 583-2748
200,Allison Garner,Web Developer,"Austin, TX",allisongarner@bleendot.com,+1 (835) 498-3765,+1 (802) 593-3619
201,Robertson Duffy,Web Developer,"Dallas, TX",robertsonduffy@bleendot.com,+1 (871) 480-2128,+1 (899) 583-3413
202,Jerri Gallagher,Graphic Designer,"Austin, TX",jerrigallagher@bleendot.com,+1 (870) 414-2777,+1 (807) 408-3457
203,Montgomery Kaufman,Web Developer,"Dallas, TX",montgomerykaufman@bleendot.com,+1 (894) 588-2885,+1 (932) 525-2714
204,Morse Cardenas,Consultant,"Dallas, TX",morsecardenas@bleendot.com,+1 (817) 427-2013,+1 (836) 582-2001
205,Curry Monroe,Web Developer,"Houston, TX",currymonroe@bleendot.com,+1 (944) 409-2822,+1 (840) 487-3856
206,Lynn Hale,Consultant,"Austin, TX",lynnhale@bleendot.com,+1 (942) 541-2010,+1 (924) 575-3393
207,Kristine Anthony,Director,"Dallas, TX",kristineanthony@bleendot.com,+1 (818) 546-3430,+1 (895) 513-3025
208,Lacey Hurst,Graphic Designer,"Austin, TX",laceyhurst@bleendot.com,+1 (941) 460-2691,+1 (809) 534-2171
209,Irwin Gill,Director,"Dallas, TX",irwingill@bleendot.com,+1 (966) 561-2910,+1 (871) 560-3270
210,Caroline Keller,Consultant,"Dallas, TX",carolinekeller@bleendot.com,+1 (900) 562-3688,+1 (994) 447-2715
211,Giles Randolph,Graphic Designer,"Austin, TX",gilesrandolph@bleendot.com,+1 (998) 426-2538,+1 (943) 416-3050
212,Mabel Gutierrez,Director,"Dallas, TX",mabelgutierrez@bleendot.com,+1 (989) 565-2652,+1 (837) 510-2037
213,Katie Vinson,Consultant,"Houston, TX",katievinson@bleendot.com,+1 (882) 415-3006,+1 (847) 592-3089
214,Toni Contreras,Director,"Houston, TX",tonicontreras@bleendot.com,+1 (805) 570-3887,+1 (821) 430-2323
215,Dawson Alexander,Web Developer,"Dallas, TX",dawsonalexander@bleendot.com,+1 (983) 486-3846,+1 (929) 445-3107
216,Claudia Allison,Web Developer,"Dallas, TX",claudiaallison@bleendot.com,+1 (905) 582-3228,+1 (857) 488-3161
217,Mcleod Petty,Software Engineer,"Houston, TX",mcleodpetty@bleendot.com,+1 (809) 479-3915,+1 (838) 573-2623
218,Becker Merrill,Graphic Designer,"Houston, TX",beckermerrill@bleendot.com,+1 (988) 499-2079,+1 (871) 408-3974
219,Tamera Patterson,Consultant,"Houston, TX",tamerapatterson@bleendot.com,+1 (817) 539-2080,+1 (834) 585-3171
220,Cote Whitehead,Graphic Designer,"Dallas, TX",cotewhitehead@bleendot.com,+1 (910) 586-3524,+1 (986) 504-2592
221,Gibson Pacheco,Web Developer,"Dallas, TX",gibsonpacheco@bleendot.com,+1 (850) 444-3405,+1 (841) 565-3666
